-0.424155	-9.20216	
-0.431791	-9.33704	
-0.425609	-9.22259	
-0.431122	-9.31912	
-0.42599	-9.2136	
-0.431738	-9.31505	
-0.425207	-9.19319	
-0.43273	-9.32522	
-0.43301	-9.35561	
-0.440295	-9.4818	
-0.434325	-9.37277	
-0.439769	-9.46701	
-0.435012	-9.37006	
-0.44048	-9.46469	
-0.443851	-9.52149	
-0.449738	-9.62442	
0.113004	8.53447	
0.115845	8.65612	
0.113684	8.55231	
0.115758	8.63925	
0.114242	8.54234	
0.116382	8.63383	
0.114125	8.52316	
0.116946	8.64214	
0.116377	8.67247	
0.119152	8.78594	
0.117026	8.68725	
0.119102	8.77201	
0.117674	8.68307	
0.11976	8.76816	
0.121085	8.81903	
0.123302	8.91172	
