3.65132	349.98
4.65792	351.928
2.81159	350.72
3.55836	352.172
0.477506	351.88
1.22922	353.336
-0.661056	352.128
0.347323	354.073
4.90834	352.408
5.90976	354.352
4.04978	353.145
4.79858	354.598
1.72552	354.315
2.47691	355.765
2.97063	356.734
3.71458	358.187
-87.6263	347.825
-86.6024	349.694
-88.4587	348.552
-87.6855	349.953
-90.7849	349.737
-90.0142	351.133
-91.9165	350.004
-90.8692	351.876
-86.3304	350.184
-85.3066	352.067
-87.1822	350.914
-86.3658	352.321
-89.4944	352.098
-88.7213	353.502
-88.2013	354.453
-87.4257	355.844
